region,district,cereal_share,root_share,legume_share,avg_yield,size_log,num_crops,total_area,total_production,cluster,group_name
GREATER ACCRA,Tema,0.46221123068699244,0.5377887693130076,0.0,7.079950538091466,3.191090350023185,2,1552.71,10993.11,2,Other
NORTHERN,Bole,0.476418164774161,0.3627690077421582,0.16081282748368075,5.9748306938110165,4.9838010971826625,9,96338.77,575607.84,3,Northern cereal-legume
NORTHERN,Bunkpurugu/Yunyoo,0.3810271563429458,0.15672261735419632,0.46225022630285784,2.44535794646321,4.888348010178049,9,77330.0,189099.53000000003,3,Northern cereal-legume
NORTHERN,Central Gonja,0.27876104566446314,0.5140067394764677,0.2072322148590692,7.432012468345598,5.046955943106894,9,111418.15,828061.0800000001,3,Northern cereal-legume
NORTHERN,Chereponi,0.507345343500282,0.17383548352767153,0.31881917297204654,3.2249269103836773,4.710956612978624,9,51399.229999999996,165758.76,3,Northern cereal-legume
NORTHERN,East Gonja,0.21953815137375562,0.5131065736197943,0.2673552750064501,7.9108352214330075,5.287515493765073,9,193872.18,1533690.8699999999,3,Northern cereal-legume
NORTHERN,East Mamprusi,0.3531456236549435,0.22388205308530607,0.42297232325975037,3.5455386906551123,5.11420445182405,9,130078.18000000001,461197.22000000003,3,Northern cereal-legume
NORTHERN,Gushiegu,0.405014612436042,0.21436018369693347,0.38062520386702464,3.860599795181075,5.180523643238715,9,151538.72999999998,585030.3900000001,3,Northern cereal-legume
NORTHERN,Karaga,0.49633452398176303,0.11611095974591386,0.38755451627232307,2.8037649908092264,5.100375267182686,9,126001.37000000001,353278.23,3,Northern cereal-legume
NORTHERN,Kpandai,0.2365663071518163,0.6506919889253961,0.11274170392278747,10.091167099666695,5.102345465642791,9,126574.28,1277282.2100000002,0,Root & tuber belt
NORTHERN,Kumbungu,0.7235361653272101,0.12629161882893225,0.15017221584385765,2.370126291618829,4.241048150671644,9,17420.0,41287.6,3,Northern cereal-legume
NORTHERN,Mamprugu Moagduri,0.43671731921001833,0.05543731129040241,0.5078453694995793,2.1489768846210957,4.305415863838036,9,20203.0,43415.78,3,Northern cereal-legume
NORTHERN,Mion,0.46914617570740147,0.22681329544050413,0.3040405288520944,3.4746123810700604,4.607079544728571,9,40465.0,140600.19,3,Northern cereal-legume
NORTHERN,Nanumba North,0.22161750789294696,0.586894507471321,0.1914879846357321,13.142113174573849,5.352704785679539,9,225270.74,2960533.56,0,Root & tuber belt
NORTHERN,Nanumba South,0.25037205403822466,0.5324461015543552,0.2171818444074201,12.007458729751816,5.304730206826944,9,201711.29,2422039.99,0,Root & tuber belt
NORTHERN,North Gonja,0.27057569296375267,0.2025586353944563,0.5268656716417911,3.638592750533049,3.6711728427150834,9,4690.0,17065.0,3,Northern cereal-legume
NORTHERN,Saboba,0.3776954785389923,0.3252488112283299,0.29705571023267774,5.19847764380806,4.946483607759819,9,88406.38,459578.59,3,Northern cereal-legume
NORTHERN,Sagnerigu,0.7816901408450704,0.06796333556896937,0.1503465235859602,2.1786262016543705,3.9516288938366384,9,8946.0,19489.989999999998,3,Northern cereal-legume
NORTHERN,Savelugu/Nanton,0.46698514973428135,0.20922370814739397,0.3237911421183246,4.3749374615143735,5.3759445070615115,9,237653.66,1039719.8999999999,3,Northern cereal-legume
NORTHERN,Sawla/Tuna/Kalba,0.5579557114788785,0.24789880544712375,0.19414548307399784,5.555636028282406,5.25485316028359,9,179826.28,999049.3599999999,3,Northern cereal-legume
NORTHERN,Tamale Metro,0.581409973671115,0.21812306803949616,0.2004669582893888,3.581615578158504,5.343736190211509,9,220666.39,790342.1799999999,3,Northern cereal-legume
NORTHERN,Tatale Sanguli,0.4179836367028223,0.4382645310875996,0.14375183220957813,7.008077712336433,4.574297553357371,9,37523.0,262964.1,3,Northern cereal-legume
NORTHERN,Tolon,0.49857768866603647,0.2405453676121436,0.2608769437218199,4.743785852655634,4.629442118997758,9,42603.19,202100.41,3,Northern cereal-legume
NORTHERN,Tolon/Kumbungu,0.6083493634504875,0.18167711866719333,0.20997351788231888,3.915705927337837,5.347214194518802,9,222440.67000000004,871012.25,3,Northern cereal-legume
NORTHERN,West Gonja,0.24948746091575366,0.5330244441840817,0.21748809490016474,12.566178998309454,5.395698032033059,9,248712.74,3125368.8099999996,0,Root & tuber belt
NORTHERN,West Mamprusi,0.44642239530135686,0.20755411474173302,0.34602348995691,3.254704861739426,5.306503879691165,9,202536.77000000002,659197.4099999999,3,Northern cereal-legume
NORTHERN,Yendi,0.3590452446049695,0.23645893065289186,0.4044958247421387,5.723851051673847,5.426468854585831,9,266973.93,1528119.01,3,Northern cereal-legume
NORTHERN,Zabzugu,0.41834348418266387,0.44129211317554545,0.14036440264179065,7.028026623493433,4.5900947140528165,9,38913.0,273481.6,3,Northern cereal-legume
NORTHERN,Zabzugu/Tatale,0.4881205121252388,0.39207752388997874,0.11980196398478246,8.202157069656488,5.2203777901037585,9,166103.12,1362403.88,3,Northern cereal-legume
UPPER EAST,Bawku Municipal,0.6413590919014371,0.0,0.35864090809856286,1.2975783345256506,5.315571849609611,7,206810.15,268352.37,3,Northern cereal-legume
UPPER EAST,Bawku West,0.6521677856124614,0.0,0.34783221438753864,1.3253273397299987,5.351915972540621,7,224861.95,298015.69,3,Northern cereal-legume
UPPER EAST,Binduri,0.7844662872737899,0.0,0.2155337127262102,1.5804952155078258,4.4502404839461445,7,28199.44,44569.08,3,Northern cereal-legume
UPPER EAST,Bolgatanga Municipal,0.6510282523618653,0.0,0.3489717476381348,1.266193938274062,4.926470040477135,7,84424.79999999999,106898.17,3,Northern cereal-legume
UPPER EAST,Bongo,0.6462020574572572,0.0,0.3537979425427428,1.131028384808827,4.956429553186331,7,90454.37,102306.46,3,Northern cereal-legume
UPPER EAST,Builsa,0.7524228814415821,0.0,0.24757711855841785,1.3573559704986626,5.007806177722942,7,101813.69,138197.41999999998,3,Northern cereal-legume
UPPER EAST,Builsa North,0.8063284428635591,0.0,0.1936715571364411,1.6480129071259237,4.625471320165587,7,42215.439999999995,69571.59,3,Northern cereal-legume
UPPER EAST,Builsa South,0.7905132815786895,0.0,0.20948671842131045,1.4720507633521793,3.841387004102506,7,6940.4400000000005,10216.68,3,Northern cereal-legume
UPPER EAST,Garu Tempane,0.7258445325918046,0.0,0.2741554674081954,1.249369474329818,5.291814705889285,7,195800.91,244627.68000000002,3,Northern cereal-legume
